Time	Node	Type	Packets	
0.5	gw-root	CacheHits	0
0.5	gw-root	CacheMisses	53
0.5	bb-1	CacheHits	39
0.5	bb-1	CacheMisses	53
0.5	bb-2	CacheHits	50
0.5	bb-2	CacheMisses	54
0.5	bb-3	CacheHits	39
0.5	bb-3	CacheMisses	54
0.5	bb-4	CacheHits	37
0.5	bb-4	CacheMisses	53
0.5	bb-5	CacheHits	9
0.5	bb-5	CacheMisses	54
0.5	bb-6	CacheHits	30
0.5	bb-6	CacheMisses	54
0.5	bb-7	CacheHits	41
0.5	bb-7	CacheMisses	54
0.5	bb-8	CacheHits	17
0.5	bb-8	CacheMisses	53
0.5	cgw-1	CacheHits	13
0.5	cgw-1	CacheMisses	55
0.5	cgw-2	CacheHits	37
0.5	cgw-2	CacheMisses	54
0.5	cgw-3	CacheHits	0
0.5	cgw-3	CacheMisses	54
0.5	cgw-4	CacheHits	2
0.5	cgw-4	CacheMisses	56
0.5	cgw-5	CacheHits	33
0.5	cgw-5	CacheMisses	52
0.5	cgw-6	CacheHits	1
0.5	cgw-6	CacheMisses	55
0.5	cgw-7	CacheHits	0
0.5	cgw-7	CacheMisses	52
0.5	cgw-8	CacheHits	0
0.5	cgw-8	CacheMisses	54
0.5	leaf-1	CacheHits	0
0.5	leaf-1	CacheMisses	48
0.5	leaf-2	CacheHits	0
0.5	leaf-2	CacheMisses	55
0.5	leaf-3	CacheHits	0
0.5	leaf-3	CacheMisses	55
0.5	leaf-4	CacheHits	0
0.5	leaf-4	CacheMisses	46
0.5	leaf-5	CacheHits	0
0.5	leaf-5	CacheMisses	55
0.5	leaf-6	CacheHits	0
0.5	leaf-6	CacheMisses	3
0.5	leaf-7	CacheHits	0
0.5	leaf-7	CacheMisses	56
0.5	leaf-8	CacheHits	0
0.5	leaf-8	CacheMisses	52
0.5	leaf-9	CacheHits	0
0.5	leaf-9	CacheMisses	52
0.5	leaf-10	CacheHits	0
0.5	leaf-10	CacheMisses	50
0.5	leaf-11	CacheHits	0
0.5	leaf-11	CacheMisses	55
0.5	leaf-12	CacheHits	0
0.5	leaf-12	CacheMisses	50
0.5	leaf-13	CacheHits	0
0.5	leaf-13	CacheMisses	3
0.5	leaf-14	CacheHits	0
0.5	leaf-14	CacheMisses	52
0.5	leaf-15	CacheHits	0
0.5	leaf-15	CacheMisses	56
0.5	leaf-16	CacheHits	0
0.5	leaf-16	CacheMisses	53
1	gw-root	CacheHits	0
1	gw-root	CacheMisses	54
1	bb-1	CacheHits	24
1	bb-1	CacheMisses	54
1	bb-2	CacheHits	51
1	bb-2	CacheMisses	55
1	bb-3	CacheHits	25
1	bb-3	CacheMisses	50
1	bb-4	CacheHits	31
1	bb-4	CacheMisses	56
1	bb-5	CacheHits	49
1	bb-5	CacheMisses	49
1	bb-6	CacheHits	37
1	bb-6	CacheMisses	51
1	bb-7	CacheHits	44
1	bb-7	CacheMisses	55
1	bb-8	CacheHits	28
1	bb-8	CacheMisses	48
1	cgw-1	CacheHits	32
1	cgw-1	CacheMisses	50
1	cgw-2	CacheHits	46
1	cgw-2	CacheMisses	47
1	cgw-3	CacheHits	0
1	cgw-3	CacheMisses	49
1	cgw-4	CacheHits	38
1	cgw-4	CacheMisses	50
1	cgw-5	CacheHits	42
1	cgw-5	CacheMisses	57
1	cgw-6	CacheHits	42
1	cgw-6	CacheMisses	46
1	cgw-7	CacheHits	0
1	cgw-7	CacheMisses	50
1	cgw-8	CacheHits	24
1	cgw-8	CacheMisses	43
1	leaf-1	CacheHits	0
1	leaf-1	CacheMisses	57
1	leaf-2	CacheHits	0
1	leaf-2	CacheMisses	46
1	leaf-3	CacheHits	0
1	leaf-3	CacheMisses	46
1	leaf-4	CacheHits	0
1	leaf-4	CacheMisses	46
1	leaf-5	CacheHits	0
1	leaf-5	CacheMisses	50
1	leaf-6	CacheHits	0
1	leaf-6	CacheMisses	0
1	leaf-7	CacheHits	0
1	leaf-7	CacheMisses	51
1	leaf-8	CacheHits	0
1	leaf-8	CacheMisses	52
1	leaf-9	CacheHits	0
1	leaf-9	CacheMisses	44
1	leaf-10	CacheHits	0
1	leaf-10	CacheMisses	59
1	leaf-11	CacheHits	0
1	leaf-11	CacheMisses	46
1	leaf-12	CacheHits	0
1	leaf-12	CacheMisses	49
1	leaf-13	CacheHits	0
1	leaf-13	CacheMisses	0
1	leaf-14	CacheHits	0
1	leaf-14	CacheMisses	50
1	leaf-15	CacheHits	0
1	leaf-15	CacheMisses	41
1	leaf-16	CacheHits	0
1	leaf-16	CacheMisses	42
1.5	gw-root	CacheHits	0
1.5	gw-root	CacheMisses	59
1.5	bb-1	CacheHits	11
1.5	bb-1	CacheMisses	59
1.5	bb-2	CacheHits	70
1.5	bb-2	CacheMisses	58
1.5	bb-3	CacheHits	41
1.5	bb-3	CacheMisses	64
1.5	bb-4	CacheHits	43
1.5	bb-4	CacheMisses	46
1.5	bb-5	CacheHits	63
1.5	bb-5	CacheMisses	49
1.5	bb-6	CacheHits	23
1.5	bb-6	CacheMisses	66
1.5	bb-7	CacheHits	51
1.5	bb-7	CacheMisses	46
1.5	bb-8	CacheHits	41
1.5	bb-8	CacheMisses	44
1.5	cgw-1	CacheHits	36
1.5	cgw-1	CacheMisses	49
1.5	cgw-2	CacheHits	49
1.5	cgw-2	CacheMisses	50
1.5	cgw-3	CacheHits	0
1.5	cgw-3	CacheMisses	48
1.5	cgw-4	CacheHits	11
1.5	cgw-4	CacheMisses	66
1.5	cgw-5	CacheHits	49
1.5	cgw-5	CacheMisses	46
1.5	cgw-6	CacheHits	37
1.5	cgw-6	CacheMisses	49
1.5	cgw-7	CacheHits	1
1.5	cgw-7	CacheMisses	43
1.5	cgw-8	CacheHits	39
1.5	cgw-8	CacheMisses	44
1.5	leaf-1	CacheHits	0
1.5	leaf-1	CacheMisses	47
1.5	leaf-2	CacheHits	0
1.5	leaf-2	CacheMisses	53
1.5	leaf-3	CacheHits	0
1.5	leaf-3	CacheMisses	50
1.5	leaf-4	CacheHits	0
1.5	leaf-4	CacheMisses	49
1.5	leaf-5	CacheHits	0
